med,frequency
NPH insulin ,10
Amaryl,9
lisinorpill,9
Enalapril Maleate,9
"Lipitor,",9
Metroprol,9
fenofibrate,9
 LISINOPRIL ,9
 Zocor,9
Avandia ,9
SLTNG,9
Amlodipine ,9
ASPIRIN ENTERIC COATED,9
Regular insulin,9
Felodipine,9
Glyset,9
glucotrol,9
nifedipine XL,9
 Norvasc,9
Micronase ,9
ENALAPRIL,9
Nadolol,9
Insulin NPH ,9
Humulin n,9
LIPITOR ,9
valsartan,9
"Toprol-XL,",9
carvedilol ,9
 Toprol XL ,9
 Toprol XL,9
Coreg ,9
Ntg ,9
ZOCOR ,9
Propanolol,9
nph insulin,9
Bisoprolol,9
bisoprolol,9
Asa (ACETYLSALICYLIC ACID),9
Tricor ,9
Toprol XL  ,9
 Imdur ,9
 Aspirin,9
Isosorbide Mononitrate,9
Metoprolol Tartrate ,9
pravastain,9
"HCTZ,",9
norvasc ,9
"metoprolol,",9
labetaolol,9
HUMULOG,9
isosorbide mononitrate ,9
Metfomin,9
Glucatrol,9
provachol,9
Fosinopril,9
ramipril ,9
avandia,9
Hydochlorothiazide,9
ezetimbe,9
Cozar,9
ACE Inhibitor,9
MICRONASE,9
Lantus Insulin,9
QUINAPRIL,9
Humalin,9
Glyberide,9
Diovan (VALSARTAN),9
lopresor,9
linsinopril,9
Rosuvastatin,9
INSULIN 70/30,9
Insulin Nph,9
sisinoril,9
troglitazone,9
 Simvastatin,9
70/30 insulin,9
Dyazide  (TRIAMTERENE 37.5 Mg/hctz 25 Mg),9
Metormin,9
zestoretic,9
ZESTORETIC 20-25,9
ATENOLOL  50MG 1 Tablet(s) PO QD,9
ZESTORETIC,9
glynase,9
Glipizide Xl,9
Zabeta,9
simvastain,9
Glucopahge,9
novolin,9
Netformin,9
Metforman,9
ACE inhibitor,8
lipitor ,8
zetia,8
"insulin,",8
hyzaar,8
Niaspan ,8
nitropaste,7
70/30,7
"beta blocker,",7
Accupril ,7
SLNTG,7
 glyburide,7
niacin ,7
Bblocker,7
beta blocker.,7
Hctz (HYDROCHLOROTHIAZIDE) ,7
SIMVASTATIN ,7
lantus ,7
niaspan,7
ACE inhibitors,7
glucovance,7
 Acetylsalicylic Acid,7
ISOSORBIDE MONONITRATE,7
 isosorbide,7
diltiazem ,7
 Lopressor,7
IV insulin,7
propranolol,7
Insulin 70/30 ,6
Insulin REGULAR HUMULIN,6
"Zestril,",6
Insulin Aspart Sliding Scale,6
"hydrochlorothiazide,",6
Capoten,6
fenofibrate ,6
 ATENOLOL,6
NTG SL,6
sliding scale insulin,6
irbesartran,6
insulin-requiring,6
glyburide.,6
hydrochlorothiazid,6
simvastatin.,6
Actose,6
 Hctz ,6
  LISINOPRIL,6
hydrochlorothiazide ,6
" lisinopril,",6
Asa  ,6
 Ecotrin,6
Vasotec ,6
Enteric-coated aspirin,6
enteric coated aspirin ,6
ISOSORBIDE DINITRATE ,6
LOPRESSOR ,6
Pravachol.,6
 Hydrochlorothiazide ,6
CZI Regular,6
Atenololl,6
Altase,6
tenormin,6
Gemfibrozil ,6
nitrogylcerin,6
Caduet,6
Altace ,6
accupril,6
METFORMIN   ,6
Mevacor ,6
Chlropropamiden,6
glipizide ,6
glypizide,6
 toprol,6
captopril ,6
NORVASC ,6
REGULAR INSULIN ,6
ASA-EC,6
ISOSORBIDE MONONIT,6
LIPITOR (ATORVASTATIN),6
 Atenolol ,6
Metoprolol XL,6
Atorvastatin  ,6
Valsartan ,6
 Plavix ,6
Toprol X,6
clopidogrel ,6
pravastatin ,6
" ASA,",6
pravachol ,6
 nitroglycerin,6
Nitro-Dur,6
Insulin pump,6
70/30 ,6
sitagliptin,6
candesartan,6
Toprol xl ,6
isosorbide mononitrite,6
toprol xl ,6
beta-blockers,6
  Isosorbide Dinitrate,6
isosorbide nitrate,6
Humulin insulin,6
METOPROLOL TARTRATE,6
"Insulin REGULAR HUMAN 3 UNITS SC AC+HS , use per sliding scale-2U if 150-200, 4U if 200-250, 6U 250-300, 8U 300-350",6
 Asa (ACETYLSALICYLIC Acid) ,6
 Micronase (GLYBURIDE) ,6
Lopid (GEMFIBROZIL),6
insulin regular,6
LESCOL,6
Nitro stat,6
Lipitor.,6
Novolog ,6
 Toprol,6
 Metoprolol ,6
Ntg 1/150,6
ranolazine,6
statins,6
 ECASA,6
 ISOSORBIDE MONONITRATE,6
"beta-blocker, ",6
ACCUPRIL,6
Lopid ,6
Amlodipine (Norvasc),6
Insulin REGULAR,6
Regular Insulin,6
Lopressor (METOPROLOL TARTRATE),6
Glucophage (METFORMIN) ,6
Fosinoperil,6
insulin/70/30,6
Pravaastatin,6
  Insulin,6
procardia xl,6
"Toprol,",6
lisinopril;,6
regular ,6
Labetalol Hcl,6
Vaseretic,6
Lisino,6
Insulin Nph Human ,6
Atorvastatin (Lipitor ),6
 ACETYLSALICYLIC ACID,6
NovoLog insulin,6
Labetalol ,6
LEVEMIR,6
levemir,6
Diltiazem ,6
 Insulin ,6
NPH  insulin,6
Bayer ASA,6
Verapamil Hcl,6
Acetylsalicylic Acid (Aspirin ),6
adalat,6
Insulin 70/30,6
Enteric-coated baby aspirin,6
ATORVASTATIN ,6
lisinopril.,6
lisnopril,6
"diltiazem,",6
LABETALOL,6
Toprol Xl (METOPROLOL Succinate Extended Release) ,6
toprol ,6
Dyazide ,6
HCTZ 25mg,6
fluvastatin,6
 GLYBURIDE,6
Glybyride,6
ASA 81 qd,6
detemir,6
"ATENOLOL 50MG, 0.5 Tablet(s) PO QD",6
"Glucovance (GLYBURIDE/METFORMIN) 2.5-500MG, 2 Tablet(s) PO BID",6
ASA     PO,6
ATENOLOL  25MG PO QD,6
LIPITOR (ATORVASTATIN) ,6
vasotec,6
DIOVAN,6
metfromin,6
PRINIVIL,6
lipitor 40 mg qhs,6
ASPIRIN (ACETYLSALICYLIC ACID) ,6
glyburide 5 mg bid,6
MICRONASE (GLYBURIDE) ,6
atenolol 50 mg qd,6
 Atorvastatin,6
Atorvastatin (Lipitor)  20 MG PO QHS,6
Acetylsalicylic Acid (Aspirin)  81 MG PO QAM,6
Clopidogrel (Plavix)  75 MG PO QAM,6
Metformin  500 MG PO BID,6
Glyburide  1.25 MG PO QAM,6
Pioglitazone (Actos)  15 MG PO QAM,6
Atenolol  50 MG PO QAM,6
AVANDIA,6
lisinorpil,6
Lisinopril/hydrochlorothiazide,6
LOTENSIN,6
Baby aspirin,6
Insulin regular SS,6
nitrate,5
Timolol,5
SSI,5
NG,5
Fluvastatin,5
Regular insulin sliding scale ,5
Crestor ,5
"Gemfibrozil,",4
 Procardia,4
Propranolol ,4
 lipitor ,4
Nitropaste,4
 Nitroglycerin,4
Carvedilol ,4
Plavix  ,4
Sliding scale insulin.,4
ECASA 325 mg qd,4
plavix ,4
Hydrochlorothiazide ,4
 Zestril,4
ASA 81mg qd,4
Monopril ,4
Lipitpr,4
Coated aspirin,3
Humulin 70/30 ,3
Insulin Regular Humulin ,3
Toprol-XL ,3
Hctz (Hydrochlorothiazide),3
 Enalapril,3
"enalapril,",3
ISS,3
ZESTRIL (LISINOPRIL) ,3
HCTZ (HYDROCHLOROTHIAZIDE) ,3
ASA (ACETYLSALICYLIC ACID) ,3
"Norvasc,",3
"Atenolol,",3
Aliskiren/HCTZ,3
discontinuation of the gemfibrozil ,3
Humalog sliding scale sc tid,3
Humalog ,3
"TNG, ",3
Humalog insulin 75/25,3
  Zocor,3
      LISINOPRIL  ,3
 Nifedipine XL ,3
 Toprol-XL ,3
baby aspirin ,3
 Insulin.,3
NPH Insulin.,3
"(lisinopril 10 mg daily,). ",3
(Lipitor 40 mg daily).,3
Aspirin 325 mg daily. ,3
 nph ,3
nph insulin humulin n  SQ 25u am and 10 u pm,3
Lantus insulin 58u/day,3
TNG ,3
 Mevacor,3
 Lantus insulin ,3
atorva,3
IRBESARTAN,3
Atenolol 25 mg BID,3
    Hyzaar ,3
Verapamil SR,3
"verapamil hydrochloride, SR",3
Humulin  n ,3
Humulin  r,3
Humulin N 40 qAM / 22 qPM,3
Humulin R (INSULIN REGULAR HUMAN) Variable (100 U/ML VIAL ML) SC ,3
 (Insulin Nph Human,3
Humulin R),3
NITROGLYCERIN ,3
to glipizide,3
SL NTG.,3
"Humulin NPH 20 units qAM, 15 qPM, Humulin  Regular insulin 3 units qAM, 5 qPM",3
 Humulin NPH ,3
"Humalog SS, Lantus 10 units qpm",3
Aspirin 81 mg PO daily.,3
Topro,3
 lantus,3
"lantus, humalog sliding scale",3
Inderal ,3
inderal,3
Ascorbic Acid ,3
Propranolol Extended Release (Inderal La)  PO 240 mg QD,3
(Inderal La,3
 Inderal,3
 zocor ,3
isosorbide ,3
Regular ,3
NPH 40 / Regular 10+ scale qAM before  breakfast Regular 10+ scale qPM before  supper NPH 30 at bedtime QID Regular sliding scale,3
pioglitazone ,3
sulfonylurea,3
Insulin NPH Human,3
Insulin regular SC,3
Insulin regular ,3
NPH insulin  6 units sc daily,3
NPH and regular insulin 2 units QAM,3
glucotrol ,3
Mavik ,3
 Mavik,3
Humulin 10-20 units qam ,3
Humulin 30-35 units qpm,3
Humulin ,3
 nifedipine XL,3
          Toprol Xl ,3
 been on Accupril,3
Atican,3
Atican ,3
ATACAND,3
Atacand ,3
atenolo,3
Lisinopril  ,3
Atenolol  ,3
Micronaise,3
"Imdur,",3
NIFEDIPINE ,3
 Lipitor    ,3
Metformin  ,3
 Nadolol ,3
Enteric-coated aspirin ,3
lente insulin,3
 Lente ,3
Lente,3
Insulin Reg,3
ISOSORBIDE DINITRATE,3
Avapro a,3
added glyburide ,3
Avapro ,3
 Hydrochlorothiazide,3
Nadolol ,3
 insulin NPH ,3
Glucophag,3
Humulin r,3
Procardia XL ,3
addition of Coreg,3
Tng,3
"Insulin: Lantus 9-10 U qhs, Humalog sliding scale.",3
 AMLODIPINE,3
Lantus and a humalog sliding scale,3
Lantus 14 U qHS,3
insulin glargine (rdna origin) injection 14 u SC QHS,3
Zestril 20mg,3
ASA 325mg ,3
Glucovance 2.5/500mg ,3
Lantus 10 units hs,3
Atenolol was changed to Toprol. ,3
Toprol XL 50mg,3
Lisinoprill,3
Captoril,3
ASA 81,3
metoprolo,3
insulin NPH 10 units qam,3
insulin NPH ,3
NPH 10 units q.d.,3
insulin therapy,3
nifedipine.,3
Insulin lantus 50u SC QPM,3
Insulin Lispro 10-15u AC,3
"glyburide,",3
Aspirin. ,3
Hydrochlorothiazide. ,3
 Toprol. ,3
 Metformin ,3
ace,3
beta Blocker,3
Metoprolol tartrate (lopressor ) 12.5 MG PO Q8H,3
regular insulin  sliding scale sc tid,3
atenolol  ,3
Insulin SS ,3
metformin.,3
"nifedipine,",3
amlodipine.,3
"amlodipine,",3
"ace,",3
norvasc.,3
 lisinopril  ,3
lisinopril  ,3
hydrochlorothiazide  ,3
Prinivil ,3
Nitrostat ,3
Tenormin ,3
"ACE,",3
TNG SL ,3
" BB,",3
verapamil.,3
Glucophage.,3
Chlropropamiden ,3
ACE-inhibitor,3
"Glipizide,",3
SL TNG ,3
sl TNG ,3
 Clopidogrel ,3
  Toprol XL ,3
 Isordil,3
 Simvastatin  ,3
 Toprol ,3
long-acting insulin,3
 Coreg 3.125mg qD,3
TriCor ,3
"Metoprolol,",3
 zestril,3
nph 40 units in the morning and 40 units at night time,3
Cozaa,3
 LISINOPRI,3
     Ecasa,3
 ATENOLOL   ,3
plavix.,3
 NORVASC,3
 GLYBURIDE ,3
ZOCOR   ,3
    Asa ,3
HCTZ  ,3
ATENOLOL  ,3
ISORDIL ,3
NPH REGULAR ,3
Lopressor  50MG PO BID,3
changed to Plavix,3
a beta blocker,3
ISOSORBIDE,3
TOPROL XL ,3
lipitor20,3
ZESTRIL ,3
ZESTRIL (LISINOPRIL),3
 ASA (ACETYLSALICYLIC ACID),3
 PLAVIX,3
PLAVIX (CLOPIDOGREL),3
HCTZ (HYDROCHLOROTHIAZIDE),3
 NITROGLYCERIN 1/150 (0.4 MG),3
NORVASC (AMLODIPINE) ,3
 Zestril ,3
aspirin. ,3
glucophage.,3
Metformin.,3
Valsartan HCTZ ,3
atorvastatin.,3
Metformin     ,3
Amlodipine  ,3
Metoprolol XL ,3
Lipitor  ,3
imvastatin,3
plus HCTZ 25,3
simvastatin  ,3
 Tricor ,3
Ranexa ,3
ASPIRIN ENTERIC COATED ,3
clopidogrel bisulfate  7,3
isosorbide mononitrate extended release,3
sosorbide mononitrate ,3
mononitrate ,3
amlodipine besylate,3
 fenofibrate  ,3
metoprolol tartrate  ,3
metoprolol tartrate ,3
Ranexa,3
imdur ,3
novolog ,3
Metoprolol TARTRATE ,3
Cozzar,3
"statins,",3
Solostar,3
"Cozzar,",3
ARB.,3
 Pravastatin,3
 pravastatin,3
metoprolol succinate ,3
Metoprolol Succinate,3
cozaar.,3
ASA. ,3
atenolol/,3
atenolol50,3
Pravacho,3
Pravachol. ,3
coreg.,3
 Coreg ,3
 Procardia XL,3
sublingual nitroglycerine,3
 losartan,3
 nitroglycerin ,3
  Toprol,3
added Diovan,3
NitroDur ,3
NitroDur,3
10. Sliding scale insulin.,3
Vytorin 10mg/80mg po qhs,3
Toprol XL 25 mg po qd,3
Insulin pump at 1U/hr ( = NPH 12 U qam,3
isosorbide dinitrate  30 mg QD,3
isosorbide dinitrate ,3
(Aspirin,3
Insulin Glargine (Lantus ),3
lisinopr,3
insulin-dependent,3
Nystatin,3
IMDUR (ISOSORBIDE MONONIT.(SR)),3
 started glucophage,3
Imdur (ISOSORBIDE MONONIT.(SR)),3
Imdur (ISOSORBIDE MONONIT.(SR)) ,3
CGI,3
isosorbide  mononitrate 60 mg p.o. q.d,3
sliding scale CZI,3
PRAVACHOL,3
PRAVACHOL (PRAVASTATIN) ,3
PLAVIX (CLOPIDOGREL) ,3
IMDUR (ISOSORBIDE MONONIT.(SR)) ,3
TNG 0.4 MG (NITROGLYCERIN 1/150 (0.4 MG)) ,3
NPH INSULIN ,3
 isosorbide mononitrate ,3
betalol,3
Insulin 70/30 (HUMAN)   Variable  (70-30 U/ML VIAL ) SC  ,3
"Insulin 70/30 (HUMAN) Variable (70-30 U/ML VIAL ) SC , 45 am, Pm ",3
Insulin variable dosing,3
isosorbide mononitrate 30 mg sr po qd,3
isosorbide mononitrate  30 mg sr po bid,3
isosorbide mononitrite 60 mg SR 1 1/2 tabs daily ,3
isosorbide mononitrite ,3
enteric coated aspirin one tab po q.d,3
 enteric coated aspirin ,3
CZI insulin,3
CZI insulin 30 units sub q qAM,3
NPH insulin 60 units sub q qPM,3
NPH insulin 64 units sub q qAM along with 34 units CZI sub q qAM and 68 units NPH sub q qPM,3
insulin 10 units of CZI with 72 units NPH qam and 74 units NPH qpm. ,3
amlidopine,3
Lipitor was added to his regimen,3
nifedipine XR,3
 Isosorbide Dinitrate ,3
atneolol,3
Toprol XL 50 mg qd,3
Toprol XL 50 mg   qd,3
 Toprol-XL,3
Isosorbide mononitrate,3
Isosorbide mononitrate ,3
S.C,3
 isosorbide nitrate,3
trans-   derm nitro,3
75/25 insulin 40 units,3
INSULIN ASPART,3
NPH 50unit,3
INSULIN NPH,3
" Ecasa (ASPIRIN Enteric Coated) 325MG, 1 Tablet(s) PO QD x 30 day",3
"Zestoretic (LISINOPRIL/HYDROCHLOROTHIAZIDE) 20-12.5, 1 Tablet(s) PO QD x 30 day(s)",3
Lisinopril/HCTZ,3
Humulin 70/30 100U,3
Insulin 70/30 (HUMAN) 50 U SC QAM x 30 day(s),3
Humulin 70/30 30 UNITS qpm x 30 day(s),3
Lisinopril 20/HCTZ 25 qd.  ,3
Humulin 70/30 60 UNITS qpm x 30 days ,3
Insulin 70/30 (HUMAN) 30 U/30 U SC QAM/Qpm ,3
Insulin REGULAR HUMAN,3
Lipitor 40 MG PO QD ,3
Glucophage 500 MG PO BID ,3
Humulin 70/30 60 UNITS qpm x 30 days,3
Insulin 70/30 (HUMAN) 30 U/30 U SC QAM/Qpm,3
Lip,3
Lopid (GEMFIBROZIL) ,3
Pravachol (PRAVASTATIN) ,3
Avandia (ROSIGLITAZONE),3
Vytorin (80 simvastatin/10 zetia),3
Gemfibrozil (Lopid ),3
Rosiglitazone (Avandia),3
recently switched to zetia,3
nicardipine,3
beta blockers,3
 insulin regular,3
Glucophage 850MG BID,3
Glucophage 500mg,3
Glucophage 850MG,3
GLUCOPHAGE 850MG ,3
insulin  70/30,3
 insulin  70/30,3
 Nitro stat,3
Nitro stat ,3
started Toprol XL,3
Regular insulinSS ,3
Regular insulinS,3
Insulin Regular Inj Sliding Scale SC ,3
Ezetimibe 10 Mg - Simvastatin 20 Mg (Vytorin 10/27),3
Metoprolol Tartrate (Lopressor),3
 Glucophage ,3
 fosinopril,3
"simvastatin,",3
 hydrochlorothiazide,3
amlodipine ,3
Lipitor 10mg QHS,3
glucophage ,3
Zocor.,3
 nitro,3
"Cozaar,",3
 niacin,3
Toprol.,3
ACEi.,3
"ACEi,",3
 atorvastatin,3
atorvastatin ,3
"BB,",3
 ATORVASTATIN,3
ASA.,3
  Nitroglycerin ,3
 CCB ,3
statin.,3
" beta blocker, ",3
 Ecotrin ,3
"Lipitor (ATORVASTATIN) 20MG TABLET take 1 Tablet(s) PO QD , Take as directed ",3
Avapro (IRBESARTAN,3
 isosorbide mononitrate,3
  Lipitor,3
  metformin,3
  Tricor,3
ACETYLSALICYLIC ACID (ASPIRIN),3
CLOPIDOGREL (PLAVIX),3
GLARGINE (LANTUS ),3
FENOFIBRATE (TRICOR),3
Insulin.,3
regular insulin for sliding scale,3
 regular insulin,3
NPH insulin 42 units,3
Insulin Regular Human ,3
 isosorbide ,3
 Lopresso,3
Toprol XL.   ,3
Insulin NPH 20 units,3
 Insulin NPH,3
sliding scale  insulin and Humulin N,3
 glyburide ,3
  aspirin ,3
ACE inhibitor ,3
 ramipril,3
 NPH,3
sliding scale,3
 INSULIN NPH HUMAN ,3
INSULIN REGULAR HUMAN ,3
 plavix,3
"beta-blocker,",3
MICRONASE ,3
increased lisinopril,3
Lipitor 2,3
Lantus insulin ,3
 Captopril ,3
Acetylsalicylic acid ,3
Insulin nph,3
Insulin aspart (novolog,3
Insulin nph human,3
"Lantus insulin, and Humalog",3
 Humalog 0-2/4-8/6-10 111-64-17  Lantus ,3
Imdur 3,3
Humalog Insulin,3
GEMFIBROZIL,3
ASPIRIN Enteric Coated),3
Atorvastatin (Lipitor),3
Enteric coated aspirin,3
insulin dependent DM,3
Humulin N (INSULIN NPH HUMAN),3
nifedipine xl,3
Humulin n ,3
labetalol hcl,3
Ecasa (ASPIRIN ENTERIC COATED),3
Glucotrol (GLIPIZIDE),3
Monopril (FOSINOPRIL SODIUM),3
Micronase (GLYBURIDE),3
 Monopril (FOSINOPRIL Sodium) ,3
 Aspirin (ACETYLSALICYLIC Acid),3
Hctz (HYDROCHLOROTHIAZIDE)  ,3
Micronase (GLYBURIDE) ,3
Lantus and novolog,3
"Pravaastatin,",3
 Metoprolol,3
insulin CZI,3
  Norvasc,3
reg ins sliding scale,3
  Diovan,3
aspirin qd,3
PROCARDIA XL ,3
procadia,3
LOSARTAN,3
on statin,3
Asa 81 MG PO QD  ,3
HCTZ.,3
toprol XL.,3
Toprol XL (METOPROLOL SUCCINATE EXTENDED,3
toprol XL ,3
 pavix,3
pavix,3
NPH 30,3
EC Aspirin ,3
Insulin NPH (or Humulin N?),3
Novolog (INSULIN ASPART),3
Toprol XL (METOPROLOL SUCCINATE EXTENDED RELEASE) ,3
Lipitor 4,3
Insulin N,3
" Lipitor,",3
"Norvasc, ",3
Insulin NPH 37 ,3
 Reg ,3
"  lisinopril,",3
glyburide 5mg tab bid ,3
 Atenolol 25 mg po qd,3
 Aspirin ,3
zocor.,3
 lisinopril t,3
 atorvastatin ,3
"verapamil,",3
 verapamil,3
Aspirin (ACETYLSALICYLIC ACID),3
Aspirin (ACETYLSALICYLIC Acid),3
 metformin,3
ASA (ACETYLSALICYLIC ACID),3
15u NPH,3
Asa (ACETYLSALICYLIC ACID) ,3
Insulin Glargine (Lantus),3
Metoprolol Succinate Extended Release (Toprol Xl ),3
 LISINOPRIL  ,3
NPH 40 units ,3
NPH 40 units,3
Humalog (INSULIN Lispro),3
"labetalol,",3
Humalog Insulin (INSULIN Lispro),3
Insulin Nph ,3
On insulin,3
NPH 22 units,3
ENALAPRIL ,3
Enteric COATED ASA ,3
metformin hydrochloride ,3
PRAVASTATIN),3
 METFORMIN ,3
Lantus 40 qpm,3
Pravachol (PRAVASTATIN),3
Amlodipine (Norvasc ),3
ATORVASTATIN (LIPITOR ) ,3
ACETYLSALICYLIC ACID (ASPIRIN)   81 MG PO  Daily   ,3
METOPROLOL TARTRATE (LOPRESSOR ) ,3
Atorvastatin (Lipitor ) ,3
75Atorvastatin,3
10ASA,3
 Lisinopril  ,3
Lisinopril  40 MG PO QD,3
Simvastatin  80 MG PO QD,3
